"1", "Initial Version 5.0.0", "10/01/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"3", "Update Version 5.2.0", "10/05/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"4", "Update Version 5.3.0", "27/05/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"5", "Update Version 5.4.0", "10/06/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"6", "Update Version 5.5.0 ", "29/06/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"7", "Update Version 5.6.0 ", "17/09/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"8", "Update Version 5.7.0 ", "24/10/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"9", "Update Version 5.8.0", "23/12/2016", "Cornelia Gratl", "Josef Friedrichkeit"
"10", "Update Version 5.9.0", "10/03/2017", "Cornelia Gratl", "Josef Friedrichkeit"
